Nodes:
1: (-37.8204007,145.0081403)
2: (-37.8168314,145.0676484)
3: (-37.7999045,145.0554133)
4: (-37.833693,145.063387)
5: (-37.8078957,145.0289831)
6: (-37.8316157,145.0589298)
7: (-37.4102223,145.7066527)
8: (-37.8256271,144.999371)
9: (-37.7937244,145.0702314)
10: (-37.7820873,145.0778256)
11: (-37.8192467,145.0173803)
12: (-37.7889152,145.0255913)
13: (-37.8109026,145.0347853)
14: (-37.7911982,145.0410556)
15: (-37.8205912,145.0519941)
16: (-37.8008155,145.0041653)
17: (-37.7792685,145.081886)
18: (-37.7902706,145.0857682)
19: (-37.7871017,145.1014189)
20: (-37.8345987,145.0469307)
21: (-37.8126209,145.0372215)
22: (-37.8243743,145.084124)
23: (-37.8114601,145.0698677)
24: (-37.7847078,145.0776482)
25: (-37.7929985,145.031837)
26: (-37.8639307,145.0841172)
27: (-37.8127303,145.0998354)
28: (-37.82404,145.06435)
29: (-37.8612671,145.058038)
30: (-37.8052996,145.0630461)
31: (-37.8199456,145.0159701)
32: (-37.79961,145.0536159)
33: (-37.8265774,145.025405)
34: (-37.8698127,145.0921451)
35: (-37.7986642,145.0485046)
36: (-37.8034033,145.102324)
37: (-37.822703,145.0361929)
38: (-37.8101332,145.0587662)
39: (-37.8650103,145.0908467)
40: (-37.7858386,145.0639673)
41: (-37.7942175,145.0729076)
42: (-37.8121734,145.0156946)
43: (-37.7889745,145.1019751)
44: (-37.8074455,145.0290013)
45: (-37.831035,145.0563877)
46: (-37.83756,145.06057)
47: (-37.82912,145.01576)
48: (-37.8125829,145.0191168)
49: (-37.8038577,145.0112402)
50: (-37.8164674,145.0461811)
51: (-37.8452216,145.0432696)
52: (-37.7958165,145.159572)

Edges:
(52,7): 64.507
(7,52): 64.507
(34,39): 0.546
(39,34): 0.546
(34,52): 10.137
(52,34): 10.137
(39,26): 0.603
(26,39): 0.603
(26,29): 2.308
(29,26): 2.308
(29,51): 2.206
(51,29): 2.206
(51,47): 3.007
(47,51): 3.007
(47,8): 1.491
(8,47): 1.491
(49,16): 0.708
(16,49): 0.708
(12,25): 0.712
(25,12): 0.712
(25,14): 0.834
(14,25): 0.834
(14,40): 2.1
(40,14): 2.1
(24,10): 0.292
(10,24): 0.292
(10,17): 0.475
(17,10): 0.475
(17,19): 1.925
(19,17): 1.925
(19,43): 0.214
(43,19): 0.214
(43,52): 5.118
(52,43): 5.118
(1,31): 0.69
(31,1): 0.69
(31,11): 0.146
(11,31): 0.146
(11,48): 0.757
(48,11): 0.757
(42,48): 0.304
(48,42): 0.304
(48,5): 1.011
(5,48): 1.011
(5,44): 0.05
(44,5): 0.05
(49,44): 1.611
(44,49): 1.611
(5,13): 0.61
(13,5): 0.61
(44,25): 1.626
(25,44): 1.626
(13,21): 0.287
(21,13): 0.287
(47,33): 0.893
(33,47): 0.893
(33,37): 1.041
(37,33): 1.041
(37,21): 1.125
(21,37): 1.125
(33,5): 2.101
(5,33): 2.101
(48,21): 1.59
(21,48): 1.59
(11,5): 1.622
(5,11): 1.622
(44,35): 1.972
(35,44): 1.972
(35,25): 1.594
(25,35): 1.594
(3,32): 0.161
(32,3): 0.161
(32,35): 0.461
(35,32): 0.461
(3,30): 0.9
(30,3): 0.9
(30,38): 0.656
(38,30): 0.656
(38,50): 1.311
(50,38): 1.311
(50,21): 0.896
(21,50): 0.896
(21,38): 1.913
(38,21): 1.913
(38,23): 0.986
(23,38): 0.986
(38,2): 1.079
(2,38): 1.079
(23,27): 2.636
(27,23): 2.636
(50,15): 0.686
(15,50): 0.686
(15,2): 1.437
(2,15): 1.437
(15,28): 1.151
(28,15): 1.151
(2,28): 0.852
(28,2): 0.852
(28,45): 1.046
(45,28): 1.046
(15,45): 1.224
(45,15): 1.224
(45,6): 0.232
(6,45): 0.232
(6,4): 0.455
(4,6): 0.455
(45,46): 0.813
(46,45): 0.813
(45,20): 0.92
(20,45): 0.92
(20,51): 1.224
(51,20): 1.224
(46,29): 2.645
(29,46): 2.645
(46,26): 3.588
(26,46): 3.588
(28,22): 1.737
(22,28): 1.737
(22,27): 1.892
(27,22): 1.892
(27,36): 1.06
(36,27): 1.06
(36,52): 5.1
(52,36): 5.1
(43,36): 1.605
(36,43): 1.605
(40,30): 2.165
(30,40): 2.165
(40,9): 1.035
(9,40): 1.035
(30,9): 1.434
(9,30): 1.434
(9,41): 0.241
(41,9): 0.241
(41,18): 1.212
(18,41): 1.212
(18,43): 1.431
(43,18): 1.431
(9,24): 1.196
(24,9): 1.196
(4,22): 2.095
(22,4): 2.095
(31,33): 1.109
(33,31): 1.109
(31,37): 1.803
(37,31): 1.803
(44,32): 2.331
(32,44): 2.331
(27,52): 5.575
(52,27): 5.575
