WKT,Lat-Long,
POINT (145.0461811 -37.8164674),"-37.8164674	145.0461811",
POINT (145.0361929 -37.822703),-37.822703,145.0361929
POINT (145.0857682 -37.7902706),"-37.7902706	145.0857682",
POINT (145.102324 -37.8034033),-37.8034033,145.102324
POINT (145.0698677 -37.8114601),-37.8114601,145.0698677
POINT (145.084124 -37.8243743),-37.8243743,145.084124
POINT (145.1019751 -37.7889745),-37.7889745,145.1019751
POINT (145.0191168 -37.8125829),-37.8125829,145.0191168
POINT (145.0289831 -37.8078957),-37.8078957,145.0289831
POINT (145.0841172 -37.8639307),-37.8639307,145.0841172
POINT (145.0639673 -37.7858386),-37.7858386,145.0639673
POINT (145.0173803 -37.8192467),-37.8192467,145.0173803
POINT (145.0159701 -37.8199456),-37.8199456,145.0159701
POINT (145.0776482 -37.7847078),-37.7847078,145.0776482
POINT (145.081886 -37.7792685),-37.7792685,"	145.081886"
POINT (145.159572 -37.79581648),-37.79581648,145.159572
POINT (145.0554133 -37.7999045),-37.7999045,145.0554133
POINT (145.0676484 -37.8168314),-37.8168314,145.0676484
POINT (145.0589298 -37.8316157),-37.8316157,145.0589298
POINT (145.0432696 -37.8452216),-37.8452216,"	145.0432696"
POINT (145.1014189 -37.7871017),-37.7871017,145.1014189
POINT (145.0081403 -37.82040067),-37.82040067,145.0081403
POINT (145.0156946 -37.8121734),"-37.8121734	145.0156946",
POINT (145.0921451 -37.8698127),-37.8698127,145.0921451
POINT (145.0372215 -37.8126209),"-37.8126209	145.0372215",
POINT (145.025405 -37.8265774),"-37.8265774	145.025405",
POINT (145.0563877 -37.831035),"-37.831035	145.0563877",
POINT (145.063387 -37.833693),"-37.833693	145.063387",
POINT (145.06435 -37.82404),"-37.82404	145.06435",
POINT (145.0587662 -37.8101332),"-37.8101332	145.0587662",
POINT (145.0702314 -37.7937244),"-37.7937244	145.0702314",
POINT (145.031837 -37.7929985),"-37.7929985	145.031837",
POINT (145.0290013 -37.8074455),"-37.8074455	145.0290013",
POINT (145.0908467 -37.8650103),"-37.8650103	145.0908467",
POINT (145.0729076 -37.7942175),"-37.7942175	145.0729076",
POINT (145.058038 -37.8612671),"-37.8612671	145.058038",
POINT (145.0536159 -37.79961),"-37.79961	145.0536159",
POINT (145.0347853 -37.8109026),"-37.8109026	145.0347853",
POINT (145.0630461 -37.8052996),"-37.8052996	145.0630461",
POINT (145.0410556 -37.7911982),"-37.7911982	145.0410556",
POINT (145.01576 -37.82912),"-37.82912	145.01576",
POINT (144.999371 -37.82562713),"-37.82562713	144.999371",
POINT (145.7066527 -37.41022232),"-37.41022232	145.7066527",
POINT (145.0998354 -37.8127303),"-37.8127303	145.0998354",
POINT (145.0778256 -37.7820873),"-37.7820873	145.0778256",
POINT (145.0255913 -37.7889152),"-37.7889152	145.0255913",
POINT (145.0519941 -37.8205912),"-37.8205912	145.0519941",
POINT (145.0469307 -37.8345987),"-37.8345987	145.0469307",
POINT (145.06057 -37.83756),"-37.83756	145.06057",
POINT (145.0041653 -37.8008155),"-37.8008155	145.0041653",
POINT (145.0485046 -37.7986642),"-37.7986642	145.0485046",
POINT (145.0112402 -37.8038577),"-37.8038577	145.0112402",
"LINESTRING (145.159572 -37.7958165, 145.7066527 -37.4102223)",Đường thẳng 10,
"LINESTRING (145.0921451 -37.8698127, 145.0908467 -37.8650103)",Đường thẳng 11,
"LINESTRING (145.0921451 -37.8698127, 145.159572 -37.7958165)",Đường thẳng 12,
"LINESTRING (145.0908467 -37.8650103, 145.0841172 -37.8639307)",Đường thẳng 13,
"LINESTRING (145.0841172 -37.8639307, 145.058038 -37.8612671)",Đường thẳng 14,
"LINESTRING (145.058038 -37.8612671, 145.0432696 -37.8452216)",Đường thẳng 15,
"LINESTRING (145.0432696 -37.8452216, 145.01576 -37.82912)",Đường thẳng 16,
"LINESTRING (145.01576 -37.82912, 144.999371 -37.8256271)",Đường thẳng 17,
"LINESTRING (145.0112402 -37.8038577, 145.0041653 -37.8008155)",Đường thẳng 21,
"LINESTRING (145.0255913 -37.7889152, 145.031837 -37.7929985)",Đường thẳng 23,
"LINESTRING (145.031837 -37.7929985, 145.0410556 -37.7911982)",Đường thẳng 24,
"LINESTRING (145.0410556 -37.7911982, 145.0639673 -37.7858386)",Đường thẳng 25,
"LINESTRING (145.0776482 -37.7847078, 145.0778256 -37.7820873)",Đường thẳng 27,
"LINESTRING (145.0778256 -37.7820873, 145.081886 -37.7792685)",Đường thẳng 28,
"LINESTRING (145.081886 -37.7792685, 145.1014189 -37.7871017)",Đường thẳng 29,
"LINESTRING (145.1014189 -37.7871017, 145.1019751 -37.7889745)",Đường thẳng 30,
"LINESTRING (145.1019751 -37.7889745, 145.159572 -37.7958165)",Đường thẳng 31,
"LINESTRING (145.0081403 -37.8204007, 145.0159701 -37.8199456)",Đường thẳng 35,
"LINESTRING (145.0159701 -37.8199456, 145.0173803 -37.8192467)",Đường thẳng 37,
"LINESTRING (145.0173803 -37.8192467, 145.0191168 -37.8125829)",Đường thẳng 38,
"LINESTRING (145.0156946 -37.8121734, 145.0191168 -37.8125829)",Đường thẳng 39,
"LINESTRING (145.0191168 -37.8125829, 145.0289831 -37.8078957)",Đường thẳng 40,
"LINESTRING (145.0289831 -37.8078957, 145.0290013 -37.8074455)",Đường thẳng 41,
"LINESTRING (145.0112402 -37.8038577, 145.0290013 -37.8074455)",Đường thẳng 42,
"LINESTRING (145.0289831 -37.8078957, 145.0347853 -37.8109026)",Đường thẳng 43,
"LINESTRING (145.0290013 -37.8074455, 145.031837 -37.7929985)",Đường thẳng 44,
"LINESTRING (145.0347853 -37.8109026, 145.0372215 -37.8126209)",Đường thẳng 45,
"LINESTRING (145.01576 -37.82912, 145.025405 -37.8265774)",Đường thẳng 46,
"LINESTRING (145.025405 -37.8265774, 145.0361929 -37.822703)",Đường thẳng 48,
"LINESTRING (145.0361929 -37.822703, 145.0372215 -37.8126209)",Đường thẳng 49,
"LINESTRING (145.025405 -37.8265774, 145.0289831 -37.8078957)",Đường thẳng 51,
"LINESTRING (145.0191168 -37.8125829, 145.0372215 -37.8126209)",Đường thẳng 53,
"LINESTRING (145.0173803 -37.8192467, 145.0289831 -37.8078957)",Đường thẳng 55,
"LINESTRING (145.0290013 -37.8074455, 145.0485046 -37.7986642)",Đường thẳng 57,
"LINESTRING (145.0485046 -37.7986642, 145.031837 -37.7929985)",Đường thẳng 59,
"LINESTRING (145.0554133 -37.7999045, 145.0536159 -37.79961)",Đường thẳng 62,
"LINESTRING (145.0536159 -37.79961, 145.0485046 -37.7986642)",Đường thẳng 63,
"LINESTRING (145.0554133 -37.7999045, 145.0630461 -37.8052996)",Đường thẳng 64,
"LINESTRING (145.0630461 -37.8052996, 145.0587662 -37.8101332)",Đường thẳng 65,
"LINESTRING (145.0587662 -37.8101332, 145.0461811 -37.8164674)",Đường thẳng 66,
"LINESTRING (145.0461811 -37.8164674, 145.0372215 -37.8126209)",Đường thẳng 67,
"LINESTRING (145.0372215 -37.8126209, 145.0587662 -37.8101332)",Đường thẳng 68,
"LINESTRING (145.0587662 -37.8101332, 145.0698677 -37.8114601)",Đường thẳng 69,
"LINESTRING (145.0587662 -37.8101332, 145.0676484 -37.8168314)",Đường thẳng 70,
"LINESTRING (145.0698677 -37.8114601, 145.0998354 -37.8127303)",Đường thẳng 71,
"LINESTRING (145.0461811 -37.8164674, 145.0519941 -37.8205912)",Đường thẳng 72,
"LINESTRING (145.0519941 -37.8205912, 145.0676484 -37.8168314)",Đường thẳng 73,
"LINESTRING (145.0519941 -37.8205912, 145.06435 -37.82404)",Đường thẳng 74,
"LINESTRING (145.0676484 -37.8168314, 145.06435 -37.82404)",Đường thẳng 75,
"LINESTRING (145.06435 -37.82404, 145.0563877 -37.831035)",Đường thẳng 76,
"LINESTRING (145.0519941 -37.8205912, 145.0563877 -37.831035)",Đường thẳng 77,
"LINESTRING (145.0563877 -37.831035, 145.0589298 -37.8316157)",Đường thẳng 78,
"LINESTRING (145.0589298 -37.8316157, 145.063387 -37.833693)",Đường thẳng 79,
"LINESTRING (145.0563877 -37.831035, 145.06057 -37.83756)",Đường thẳng 80,
"LINESTRING (145.0563877 -37.831035, 145.0469307 -37.8345987)",Đường thẳng 81,
"LINESTRING (145.0469307 -37.8345987, 145.0432696 -37.8452216)",Đường thẳng 82,
"LINESTRING (145.06057 -37.83756, 145.058038 -37.8612671)",Đường thẳng 83,
"LINESTRING (145.06057 -37.83756, 145.0841172 -37.8639307)",Đường thẳng 84,
"LINESTRING (145.06435 -37.82404, 145.084124 -37.8243743)",Đường thẳng 86,
"LINESTRING (145.084124 -37.8243743, 145.0998354 -37.8127303)",Đường thẳng 87,
"LINESTRING (145.0998354 -37.8127303, 145.102324 -37.8034033)",Đường thẳng 88,
"LINESTRING (145.102324 -37.8034033, 145.159572 -37.7958165)",Đường thẳng 89,
"LINESTRING (145.1019751 -37.7889745, 145.102324 -37.8034033)",Đường thẳng 90,
"LINESTRING (145.0639673 -37.7858386, 145.0630461 -37.8052996)",Đường thẳng 91,
"LINESTRING (145.0639673 -37.7858386, 145.0702314 -37.7937244)",Đường thẳng 92,
"LINESTRING (145.0630461 -37.8052996, 145.0702314 -37.7937244)",Đường thẳng 93,
"LINESTRING (145.0702314 -37.7937244, 145.0729076 -37.7942175)",Đường thẳng 95,
"LINESTRING (145.0729076 -37.7942175, 145.0857682 -37.7902706)",Đường thẳng 96,
"LINESTRING (145.0857682 -37.7902706, 145.1019751 -37.7889745)",Đường thẳng 97,
"LINESTRING (145.0702314 -37.7937244, 145.0776482 -37.7847078)",Đường thẳng 98,
"LINESTRING (145.063387 -37.833693, 145.084124 -37.8243743)",Đường thẳng 99,
"LINESTRING (145.0159701 -37.8199456, 145.025405 -37.8265774)",Đường thẳng 100,
"LINESTRING (145.0159701 -37.8199456, 145.0361929 -37.822703)",Đường thẳng 101,
"LINESTRING (145.0290013 -37.8074455, 145.0536159 -37.79961)",Đường thẳng 102,
"LINESTRING (145.0998354 -37.8127303, 145.159572 -37.7958165)",Đường thẳng 103,
