Node ID,Latitude,Longitude,Location,Site Type
1,-37.820401,145.00814,burnley_st,INT
2,-37.816831,145.067648,mont albert_rd,POS
3,-37.799904,145.055413,harp_rd,INT
4,-37.833693,145.063387,trafalgar_rd,POS
5,-37.807896,145.028983,denmark_st,INT
6,-37.831616,145.05893,riversdale_rd,POS
7,-37.410222,145.706653,maroondah_hwy,INT
8,-37.825627,144.999371,swan_st,INT
9,-37.793724,145.070231,severn_st,POS
10,-37.782087,145.077826,offramp_eastern_fwy,POS
11,-37.819247,145.01738,church_st,INT
12,-37.788915,145.025591,chandler_hwy,INT
13,-37.810903,145.034785,charles_st,INT
14,-37.791198,145.041056,kilby_rd,INT
15,-37.820591,145.051994,rathmines_rd,INT
16,-37.800815,145.004165,studley park_rd,POS
17,-37.779269,145.081886,thompsons_rd,POS
18,-37.790271,145.085768,balwyn_rd,INT
19,-37.787102,145.101419,eastern_fwy,POS
20,-37.834599,145.046931,tooronga_rd,INT
21,-37.812621,145.037221,glenferrie_rd,INT
22,-37.824374,145.084124,canterbury_rd,POS
23,-37.81146,145.069868,whitehorse_rd,POS
24,-37.784708,145.077648,bulleen_rd,POS
25,-37.792999,145.031837,earl_st,INT
26,-37.863931,145.084117,high_st,INT
27,-37.81273,145.099835,union_rd,INT
28,-37.82404,145.06435,stanhope_gv,INT
29,-37.861267,145.058038,s.e.arterial,POS
30,-37.8053,145.063046,wills_st,POS
31,-37.819946,145.01597,bridge_rd,INT
32,-37.79961,145.053616,harp_st,INT
33,-37.826577,145.025405,power_st,INT
34,-37.869813,145.092145,warrigal_rd,INT
35,-37.798664,145.048505,valerie_st,INT
36,-37.803403,145.102324,belmore_rd,INT
37,-37.822703,145.036193,burwood_rd,INT
38,-37.810133,145.058766,cotham_rd,INT
39,-37.86501,145.090847,high street_rd,POS
40,-37.785839,145.063967,burke_rd,POS
41,-37.794218,145.072908,highbury_rd,INT
42,-37.812173,145.015695,victoria_st,INT
43,-37.788975,145.101975,doncaster_rd,INT
44,-37.807446,145.029001,princess_st,INT
45,-37.831035,145.056388,camberwell_rd,POS
46,-37.83756,145.06057,seymour_gv,POS
47,-37.82912,145.01576,madden_gv,INT
48,-37.812583,145.019117,barkers_rd,INT
49,-37.803858,145.01124,walmer_st,INT
50,-37.816467,145.046181,auburn_rd,INT
51,-37.845222,145.04327,burwood_hwy,INT
52,-37.795817,145.159572,eastern_fwy_w_bd_ramps,POS
