Location,Longitude,Latitude
AUBURN_RD N of BURWOOD_RD,145.0456755,-37.82396468
AUBURN_RD S of BURWOOD_RD,145.04346,-37.82542
BALWYN_RD N OF BELMORE_RD,145.08197,-37.80431
BALWYN_RD N OF WHITEHORSE_RD,145.0801,-37.81404
BALWYN_RD N of CANTERBURY_RD,145.078,-37.82506
BALWYN_RD S OF BELMORE_RD,145.08171,-37.80564
BALWYN_RD S OF WHITEHORSE_RD,145.07996,-37.81476
BALWYN_RD S of DONCASTER_RD,145.08352,-37.79635
BARKERS_RD E of DENMARK_ST,145.02706,-37.81521
BARKERS_RD E of HIGH_ST,145.02261,-37.81469
BARKERS_RD W of BURKE_RD,145.05739,-37.8188
BARKERS_RD W of CHURCH_ST,145.02161,-37.81457
BARKERS_RD W of DENMARK_ST,145.02608,-37.8151
BELMORE_RD E OF BALWYN_RD,145.08246,-37.80508
BELMORE_RD E of BURKE_RD,145.06167,-37.80236
BELMORE_RD W OF BALWYN_RD,145.08092,-37.80487
BRIDGE_RD SW of BURWOOD_RD,145.01503,-37.82155
BULLEEN_RD N of THOMPSONS_RD,145.07733,-37.78093
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,145.07729,-37.78267
BURKE_RD N OF WHITEHORSE_RD,145.05946,-37.81147
BURKE_RD N of CANTERBURY_RD,145.05734,-37.82264
BURKE_RD N of HARP_RD,145.06127,-37.80202
BURKE_RD N of MONT ALBERT_RD,145.0583603,-37.8172654
BURKE_RD N of RIVERSDALE_RD,145.05545,-37.83256
BURKE_RD N of TOORAK_RD,145.05275,-37.84683
BURKE_RD S OF WHITEHORSE_RD,145.05933,-37.81216
BURKE_RD S of BARKERS_RD,145.05801,-37.81912
BURKE_RD S of CANTERBURY_RD,145.05724,-37.82315
BURKE_RD S of DONCASTER_RD,145.06251,-37.79561
BURKE_RD S of EASTERN_FWY,145.06202,-37.78661
BURKE_RD S of HARP_RD,145.06117,-37.80256
BURKE_RD S of RIVERSDALE_RD,145.05532,-37.83323
BURKE_RD S of TOORAK_RD,145.05263,-37.84741
BURNLEY_ST S OF VICTORIA_ST,145.00844,-37.81312
BURWOOD_HWY E of WARRIGAL_RD,145.09463,-37.85193
BURWOOD_RD E of AUBURN_RD,145.04387,-37.82529
BURWOOD_RD E of GLENFERRIE_RD,145.03445,-37.82416
BURWOOD_RD E of POWER_ST,145.02565,-37.82313
BURWOOD_RD W of AUBURN_RD,145.04301,-37.82518
BURWOOD_RD W of GLENFERRIE_RD,145.03349,-37.82405
BURWOOD_RD W of POWER_ST,145.02402,-37.82295
CAMBERWELL_RD NW of BURKE_RD,145.05507,-37.83254
CAMBERWELL_RD NW of TRAFALGAR_RD,145.06055,-37.83725
CAMBERWELL_RD SE of BURKE_RD,145.05571,-37.83312
CAMBERWELL_RD SE of TRAFALGAR_RD,145.06115,-37.83777
CANTERBURY_RD E of BALWYN_RD,145.07827,-37.82535
CANTERBURY_RD E of BURKE_RD,145.05773,-37.82295
CANTERBURY_RD E of STANHOPE_GV,145.06466,-37.82379
CANTERBURY_RD E of WARRIGAL_RD,145.09885,-37.82778
CANTERBURY_RD W of BALWYN_RD,145.07757,-37.82527
CANTERBURY_RD W of STANHOPE_GV,145.06417,-37.82374
CANTERBURY_RD W of WARRIGAL_RD,145.0983,-37.82772
CHURCH_ST SW of BARKERS_RD,145.0219,-37.81495
COTHAM_RD E OF GLENFERRIE_RD,145.037306,-37.809274
COTHAM_RD W OF BURKE_RD,145.05901,-37.81184
COTHAM_RD W OF GLENFERRIE_RD,145.036452,-37.809176
DENMARK_ST N of BARKERS_RD,145.02663,-37.81489
